E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2
-65.2,0,-65.2,0
-61.8,0,-61.8,0
-58.4,0,-58.4,0
-55,3,-55,204
-51.6,33,-51.6,1259
-48.3,39,-48.3,1627
-44.9,32,-44.9,1655
-41.5,50,-41.5,1847
-38.1,44,-38.1,1945
-34.7,49,-34.7,2072
-31.3,43,-31.3,2224
-28,55,-28,2430
-24.6,63,-24.6,2596
-21.2,57,-21.2,2685
-17.8,61,-17.8,3041
-14.4,50,-14.4,2792
-11,66,-11,2834
-7.7,70,-7.7,3066
-4.3,94,-4.3,3406
-0.9,87,-0.9,3545
2.5,89,2.5,3528
5.9,71,5.9,3772
9.3,100,9.3,4270
12.6,109,12.6,4794
16,103,16,5197
19.4,98,19.4,5589
22.8,108,22.8,5616
26.2,109,26.2,6245
29.6,162,29.6,7918
32.9,208,32.9,9928
36.3,191,36.3,10260
39.7,168,39.7,8760
43.1,141,43.1,7833
46.5,149,46.5,7673
49.9,154,49.9,7352
53.2,125,53.2,6762
56.6,101,56.6,6458
60,112,60,6342
63.4,108,63.4,6521
66.8,119,66.8,6652
70.1,108,70.1,6629
73.5,103,73.5,6662
76.9,109,76.9,6853
80.3,109,80.3,6652
83.7,107,83.7,6886
87.1,129,87.1,6825
90.4,100,90.4,6705
93.8,103,93.8,6795
97.2,99,97.2,6649
100.6,102,100.6,6607
104,115,104,6654
107.4,107,107.4,6471
110.7,100,110.7,6253
114.1,108,114.1,6113
117.5,104,117.5,6079
120.9,118,120.9,6046
124.3,98,124.3,6002
127.7,99,127.7,5781
131,118,131,5896
134.4,105,134.4,5679
137.8,108,137.8,5682
141.2,93,141.2,5624
144.6,107,144.6,5611
148,96,148,5775
151.3,109,151.3,5500
154.7,103,154.7,5429
158.1,127,158.1,5580
161.5,102,161.5,5495
164.9,97,164.9,5510
168.3,96,168.3,5365
171.6,102,171.6,5352
175,117,175,5225
178.4,121,178.4,5079
181.8,107,181.8,5162
185.2,130,185.2,5032
188.6,142,188.6,5001
191.9,121,191.9,4713
195.3,130,195.3,4859
198.7,110,198.7,4585
202.1,113,202.1,4530
205.5,103,205.5,4371
208.9,99,208.9,4417
212.2,94,212.2,4273
215.6,110,215.6,4252
219,111,219,4007
222.4,107,222.4,3953
225.8,94,225.8,3992
229.1,85,229.1,3903
232.5,93,232.5,3793
235.9,95,235.9,3851
239.3,95,239.3,3811
242.7,90,242.7,3705
246.1,71,246.1,3618
249.4,86,249.4,3437
252.8,78,252.8,3486
256.2,79,256.2,3419
259.6,81,259.6,3393
263,77,263,3531
266.4,82,266.4,3292
269.7,69,269.7,3254
273.1,85,273.1,3224
276.5,62,276.5,3202
279.9,72,279.9,3065
283.3,79,283.3,3089
286.7,78,286.7,2983
290,65,290,3102
293.4,64,293.4,2945
296.8,70,296.8,2995
300.2,59,300.2,2871
303.6,65,303.6,2770
307,70,307,2841
310.3,58,310.3,2737
313.7,63,313.7,2772
317.1,71,317.1,2671
320.5,68,320.5,2648
323.9,48,323.9,2677
327.3,55,327.3,2632
330.6,67,330.6,2500
334,58,334,2431
337.4,63,337.4,2514
340.8,61,340.8,2470
344.2,58,344.2,2456
347.6,56,347.6,2398
350.9,61,350.9,2381
354.3,62,354.3,2180
357.7,53,357.7,2382
361.1,64,361.1,2254
364.5,53,364.5,2245
367.9,43,367.9,2136
371.2,51,371.2,2111
374.6,67,374.6,2147
378,50,378,2135
381.4,44,381.4,2152
384.8,45,384.8,2129
388.1,64,388.1,2046
391.5,58,391.5,2076
394.9,45,394.9,2125
398.3,41,398.3,2124
401.7,51,401.7,2032
405.1,54,405.1,2058
408.4,57,408.4,2018
411.8,53,411.8,2016
415.2,62,415.2,2021
418.6,60,418.6,2019
422,49,422,1963
425.4,49,425.4,2021
428.7,55,428.7,1946
432.1,54,432.1,1882
435.5,54,435.5,1773
438.9,48,438.9,1710
442.3,56,442.3,1708
445.7,50,445.7,1672
449,48,449,1645
452.4,49,452.4,1539
455.8,54,455.8,1466
459.2,45,459.2,1367
462.6,61,462.6,1380
