E_A#1 / keV,N_A#1,E_A#2 / keV,N_A#2,E_A#3 / keV,N_A#3,E_A#4 / keV,N_A#4,E_A#5 / keV,N_A#5,E_A#6 / keV,N_A#6,E_A#7 / keV,N_A#7,E_A#8 / keV,N_A#8,E_A#9 / keV,N_A#9,E_A#10 / keV,N_A#10,E_A#11 / keV,N_A#11
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,1,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0
-47.8,4,-47.8,11,-47.8,62,-47.8,39,-47.8,47,-47.8,69,-47.8,58,-47.8,65,-47.8,69,-47.8,84,-47.8,63
-44.9,30,-44.9,59,-44.9,339,-44.9,314,-44.9,306,-44.9,354,-44.9,320,-44.9,363,-44.9,366,-44.9,363,-44.9,383
-42.1,20,-42.1,59,-42.1,463,-42.1,378,-42.1,366,-42.1,400,-42.1,398,-42.1,440,-42.1,407,-42.1,431,-42.1,379
-39.3,26,-39.3,60,-39.3,482,-39.3,416,-39.3,459,-39.3,414,-39.3,494,-39.3,453,-39.3,477,-39.3,523,-39.3,497
-36.4,25,-36.4,89,-36.4,549,-36.4,445,-36.4,463,-36.4,478,-36.4,453,-36.4,511,-36.4,509,-36.4,493,-36.4,490
-33.6,31,-33.6,81,-33.6,561,-33.6,495,-33.6,448,-33.6,502,-33.6,558,-33.6,504,-33.6,502,-33.6,548,-33.6,487
-30.8,43,-30.8,79,-30.8,678,-30.8,468,-30.8,507,-30.8,494,-30.8,580,-30.8,556,-30.8,607,-30.8,598,-30.8,580
-27.9,36,-27.9,94,-27.9,654,-27.9,455,-27.9,507,-27.9,562,-27.9,531,-27.9,590,-27.9,563,-27.9,572,-27.9,684
-25.1,49,-25.1,96,-25.1,721,-25.1,515,-25.1,584,-25.1,546,-25.1,555,-25.1,622,-25.1,642,-25.1,686,-25.1,676
-22.2,42,-22.2,98,-22.2,834,-22.2,563,-22.2,556,-22.2,552,-22.2,653,-22.2,635,-22.2,725,-22.2,717,-22.2,790
-19.4,45,-19.4,112,-19.4,757,-19.4,560,-19.4,566,-19.4,596,-19.4,676,-19.4,694,-19.4,695,-19.4,724,-19.4,781
-16.6,49,-16.6,106,-16.6,781,-16.6,562,-16.6,573,-16.6,631,-16.6,681,-16.6,682,-16.6,721,-16.6,793,-16.6,803
-13.7,28,-13.7,129,-13.7,776,-13.7,595,-13.7,662,-13.7,703,-13.7,734,-13.7,754,-13.7,793,-13.7,818,-13.7,829
-10.9,46,-10.9,114,-10.9,892,-10.9,626,-10.9,724,-10.9,697,-10.9,760,-10.9,782,-10.9,826,-10.9,881,-10.9,961
-8.1,46,-8.1,115,-8.1,883,-8.1,663,-8.1,666,-8.1,752,-8.1,780,-8.1,795,-8.1,863,-8.1,841,-8.1,879
-5.2,41,-5.2,117,-5.2,831,-5.2,655,-5.2,706,-5.2,756,-5.2,736,-5.2,778,-5.2,742,-5.2,844,-5.2,784
-2.4,55,-2.4,107,-2.4,767,-2.4,686,-2.4,743,-2.4,687,-2.4,775,-2.4,805,-2.4,770,-2.4,791,-2.4,800
0.4,57,0.4,120,0.4,793,0.4,708,0.4,693,0.4,797,0.4,785,0.4,791,0.4,805,0.4,771,0.4,768
3.3,58,3.3,124,3.3,813,3.3,753,3.3,808,3.3,841,3.3,785,3.3,833,3.3,802,3.3,844,3.3,798
6.1,65,6.1,144,6.1,867,6.1,757,6.1,783,6.1,858,6.1,856,6.1,830,6.1,817,6.1,914,6.1,874
9,59,9,154,9,845,9,780,9,759,9,826,9,823,9,861,9,797,9,900,9,915
11.8,67,11.8,135,11.8,899,11.8,788,11.8,816,11.8,864,11.8,892,11.8,873,11.8,876,11.8,869,11.8,891
14.6,81,14.6,138,14.6,939,14.6,844,14.6,849,14.6,840,14.6,894,14.6,902,14.6,945,14.6,958,14.6,905
17.5,67,17.5,141,17.5,955,17.5,846,17.5,877,17.5,895,17.5,910,17.5,926,17.5,965,17.5,1002,17.5,1006
20.3,97,20.3,138,20.3,1112,20.3,859,20.3,951,20.3,963,20.3,1058,20.3,1082,20.3,1108,20.3,1102,20.3,1088
23.1,85,23.1,165,23.1,1318,23.1,946,23.1,1027,23.1,1056,23.1,1165,23.1,1277,23.1,1305,23.1,1309,23.1,1285
26,95,26,178,26,1533,26,1022,26,1049,26,1139,26,1275,26,1353,26,1424,26,1451,26,1484
28.8,101,28.8,167,28.8,1557,28.8,1077,28.8,1091,28.8,1172,28.8,1217,28.8,1393,28.8,1396,28.8,1546,28.8,1484
31.6,97,31.6,173,31.6,1364,31.6,1081,31.6,1143,31.6,1168,31.6,1287,31.6,1276,31.6,1329,31.6,1345,31.6,1343
34.5,119,34.5,198,34.5,1353,34.5,1328,34.5,1266,34.5,1303,34.5,1175,34.5,1256,34.5,1216,34.5,1250,34.5,1274
37.3,171,37.3,271,37.3,1508,37.3,1487,37.3,1527,37.3,1419,37.3,1521,37.3,1449,37.3,1425,37.3,1422,37.3,1416
40.2,168,40.2,295,40.2,1692,40.2,1752,40.2,1684,40.2,1720,40.2,1738,40.2,1565,40.2,1594,40.2,1721,40.2,1666
43,152,43,323,43,1641,43,1855,43,1756,43,1763,43,1672,43,1739,43,1703,43,1713,43,1675
45.8,154,45.8,277,45.8,1528,45.8,1605,45.8,1569,45.8,1601,45.8,1514,45.8,1583,45.8,1499,45.8,1565,45.8,1526
48.7,140,48.7,224,48.7,1304,48.7,1481,48.7,1439,48.7,1421,48.7,1349,48.7,1349,48.7,1363,48.7,1395,48.7,1364
51.5,144,51.5,219,51.5,1284,51.5,1494,51.5,1458,51.5,1376,51.5,1308,51.5,1330,51.5,1283,51.5,1292,51.5,1351
54.3,144,54.3,225,54.3,1305,54.3,1476,54.3,1376,54.3,1319,54.3,1248,54.3,1310,54.3,1271,54.3,1251,54.3,1298
57.2,133,57.2,217,57.2,1177,57.2,1468,57.2,1357,57.2,1308,57.2,1240,57.2,1148,57.2,1202,57.2,1211,57.2,1180
60,141,60,208,60,1141,60,1481,60,1323,60,1272,60,1203,60,1172,60,1113,60,1098,60,1166
62.8,109,62.8,189,62.8,1032,62.8,1412,62.8,1340,62.8,1258,62.8,1115,62.8,1038,62.8,1072,62.8,1052,62.8,1038
65.7,112,65.7,220,65.7,1045,65.7,1357,65.7,1266,65.7,1181,65.7,1106,65.7,1112,65.7,998,65.7,1047,65.7,988
68.5,114,68.5,210,68.5,994,68.5,1375,68.5,1297,68.5,1223,68.5,1100,68.5,1024,68.5,995,68.5,1057,68.5,1006
71.4,111,71.4,221,71.4,1048,71.4,1363,71.4,1313,71.4,1245,71.4,1070,71.4,1026,71.4,1016,71.4,970,71.4,1023
74.2,122,74.2,209,74.2,1056,74.2,1420,74.2,1279,74.2,1288,74.2,1053,74.2,1038,74.2,1035,74.2,1021,74.2,1006
77,110,77,230,77,1055,77,1478,77,1395,77,1306,77,1115,77,1104,77,1061,77,1058,77,1010
79.9,148,79.9,200,79.9,1042,79.9,1496,79.9,1444,79.9,1261,79.9,1208,79.9,1220,79.9,1042,79.9,1055,79.9,1086
82.7,137,82.7,224,82.7,1128,82.7,1517,82.7,1424,82.7,1370,82.7,1248,82.7,1158,82.7,1065,82.7,1105,82.7,1122
85.5,127,85.5,212,85.5,1153,85.5,1487,85.5,1425,85.5,1320,85.5,1247,85.5,1055,85.5,1081,85.5,1103,85.5,1120
88.4,141,88.4,171,88.4,1107,88.4,1604,88.4,1490,88.4,1258,88.4,1211,88.4,1134,88.4,1090,88.4,1117,88.4,1067
91.2,126,91.2,221,91.2,1172,91.2,1534,91.2,1419,91.2,1357,91.2,1149,91.2,1166,91.2,1060,91.2,1038,91.2,1105
94,139,94,189,94,1103,94,1454,94,1432,94,1303,94,1214,94,1124,94,1061,94,1104,94,1065
96.9,102,96.9,190,96.9,1134,96.9,1493,96.9,1395,96.9,1350,96.9,1161,96.9,1173,96.9,1099,96.9,1053,96.9,1094
99.7,133,99.7,212,99.7,1072,99.7,1373,99.7,1403,99.7,1285,99.7,1093,99.7,1096,99.7,1144,99.7,1129,99.7,1051
102.6,112,102.6,215,102.6,1082,102.6,1445,102.6,1354,102.6,1337,102.6,1154,102.6,1080,102.6,1127,102.6,1102,102.6,1129
105.4,115,105.4,182,105.4,1067,105.4,1480,105.4,1381,105.4,1362,105.4,1184,105.4,1163,105.4,1124,105.4,1088,105.4,1099
108.2,116,108.2,188,108.2,1120,108.2,1351,108.2,1365,108.2,1283,108.2,1129,108.2,1134,108.2,1026,108.2,1114,108.2,1052
111.1,105,111.1,188,111.1,1147,111.1,1395,111.1,1313,111.1,1277,111.1,1220,111.1,1113,111.1,1087,111.1,1124,111.1,1099
113.9,98,113.9,172,113.9,1076,113.9,1277,113.9,1293,113.9,1263,113.9,1149,113.9,1147,113.9,1071,113.9,1121,113.9,1106
116.7,90,116.7,182,116.7,1104,116.7,1358,116.7,1294,116.7,1183,116.7,1148,116.7,1140,116.7,1107,116.7,1058,116.7,1018
119.6,113,119.6,199,119.6,1071,119.6,1284,119.6,1256,119.6,1247,119.6,1138,119.6,1066,119.6,1121,119.6,1065,119.6,1067
122.4,99,122.4,182,122.4,1050,122.4,1284,122.4,1286,122.4,1232,122.4,1239,122.4,1105,122.4,1108,122.4,1048,122.4,1085
125.2,89,125.2,205,125.2,1069,125.2,1295,125.2,1262,125.2,1230,125.2,1162,125.2,1049,125.2,1061,125.2,1017,125.2,1113
128.1,86,128.1,160,128.1,1080,128.1,1221,128.1,1234,128.1,1188,128.1,1158,128.1,1096,128.1,1046,128.1,1080,128.1,1060
130.9,101,130.9,174,130.9,1085,130.9,1293,130.9,1336,130.9,1216,130.9,1153,130.9,1158,130.9,1051,130.9,1113,130.9,1138
133.8,89,133.8,198,133.8,1150,133.8,1329,133.8,1309,133.8,1199,133.8,1231,133.8,1111,133.8,1114,133.8,1250,133.8,1144
