E_A#3 / keV,N_A#3,E_A#12 / keV,N_A#12,E_A#13 / keV,N_A#13,E_A#14 / keV,N_A#14,E_A#15 / keV,N_A#15,E_A#16 / keV,N_A#16,E_A#17 / keV,N_A#17,E_A#18 / keV,N_A#18
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,1,-50.6,0
-47.8,62,-47.8,41,-47.8,44,-47.8,60,-47.8,63,-47.8,73,-47.8,58,-47.8,42
-44.9,339,-44.9,227,-44.9,285,-44.9,309,-44.9,350,-44.9,347,-44.9,358,-44.9,371
-42.1,463,-42.1,272,-42.1,318,-42.1,384,-42.1,401,-42.1,407,-42.1,437,-42.1,424
-39.3,482,-39.3,296,-39.3,398,-39.3,393,-39.3,464,-39.3,461,-39.3,448,-39.3,472
-36.4,549,-36.4,292,-36.4,402,-36.4,432,-36.4,463,-36.4,452,-36.4,492,-36.4,534
-33.6,561,-33.6,300,-33.6,400,-33.6,496,-33.6,472,-33.6,529,-33.6,482,-33.6,512
-30.8,678,-30.8,331,-30.8,418,-30.8,500,-30.8,525,-30.8,541,-30.8,519,-30.8,546
-27.9,654,-27.9,311,-27.9,404,-27.9,540,-27.9,548,-27.9,563,-27.9,566,-27.9,580
-25.1,721,-25.1,334,-25.1,429,-25.1,543,-25.1,581,-25.1,593,-25.1,558,-25.1,604
-22.2,834,-22.2,395,-22.2,425,-22.2,544,-22.2,606,-22.2,578,-22.2,610,-22.2,610
-19.4,757,-19.4,366,-19.4,433,-19.4,581,-19.4,613,-19.4,601,-19.4,609,-19.4,652
-16.6,781,-16.6,364,-16.6,524,-16.6,603,-16.6,600,-16.6,613,-16.6,648,-16.6,685
-13.7,776,-13.7,433,-13.7,528,-13.7,634,-13.7,616,-13.7,660,-13.7,678,-13.7,687
-10.9,892,-10.9,418,-10.9,554,-10.9,668,-10.9,688,-10.9,727,-10.9,718,-10.9,676
-8.1,883,-8.1,436,-8.1,552,-8.1,664,-8.1,739,-8.1,708,-8.1,734,-8.1,722
-5.2,831,-5.2,404,-5.2,513,-5.2,662,-5.2,738,-5.2,701,-5.2,718,-5.2,737
-2.4,767,-2.4,469,-2.4,561,-2.4,658,-2.4,721,-2.4,746,-2.4,724,-2.4,737
0.4,793,0.4,472,0.4,598,0.4,738,0.4,714,0.4,786,0.4,743,0.4,737
3.3,813,3.3,480,3.3,636,3.3,714,3.3,786,3.3,818,3.3,795,3.3,814
6.1,867,6.1,529,6.1,644,6.1,786,6.1,815,6.1,801,6.1,778,6.1,832
9,845,9,556,9,656,9,774,9,861,9,798,9,861,9,768
11.8,899,11.8,466,11.8,637,11.8,738,11.8,802,11.8,770,11.8,891,11.8,818
14.6,939,14.6,489,14.6,625,14.6,739,14.6,812,14.6,778,14.6,787,14.6,852
17.5,955,17.5,542,17.5,664,17.5,736,17.5,862,17.5,825,17.5,840,17.5,897
20.3,1112,20.3,547,20.3,619,20.3,781,20.3,869,20.3,838,20.3,858,20.3,947
23.1,1318,23.1,535,23.1,641,23.1,783,23.1,846,23.1,904,23.1,948,23.1,985
26,1533,26,527,26,703,26,783,26,824,26,936,26,984,26,1135
28.8,1557,28.8,565,28.8,703,28.8,892,28.8,926,28.8,909,28.8,1077,28.8,1157
31.6,1364,31.6,608,31.6,803,31.6,919,31.6,992,31.6,988,31.6,1061,31.6,1091
34.5,1353,34.5,703,34.5,896,34.5,1038,34.5,1158,34.5,1082,34.5,1139,34.5,1167
37.3,1508,37.3,904,37.3,1082,37.3,1235,37.3,1291,37.3,1309,37.3,1362,37.3,1363
40.2,1692,40.2,1050,40.2,1311,40.2,1540,40.2,1555,40.2,1510,40.2,1523,40.2,1546
43,1641,43,1109,43,1338,43,1551,43,1601,43,1601,43,1629,43,1629
45.8,1528,45.8,983,45.8,1275,45.8,1486,45.8,1458,45.8,1512,45.8,1446,45.8,1553
48.7,1304,48.7,851,48.7,1087,48.7,1227,48.7,1338,48.7,1304,48.7,1340,48.7,1367
51.5,1284,51.5,830,51.5,1031,51.5,1219,51.5,1222,51.5,1226,51.5,1271,51.5,1276
54.3,1305,54.3,807,54.3,1031,54.3,1135,54.3,1284,54.3,1237,54.3,1265,54.3,1254
57.2,1177,57.2,835,57.2,996,57.2,1161,57.2,1227,57.2,1174,57.2,1153,57.2,1236
60,1141,60,734,60,967,60,1055,60,1089,60,1153,60,1114,60,1128
62.8,1032,62.8,775,62.8,950,62.8,997,62.8,1069,62.8,1016,62.8,1026,62.8,995
65.7,1045,65.7,744,65.7,901,65.7,1009,65.7,1029,65.7,974,65.7,1031,65.7,1019
68.5,994,68.5,809,68.5,865,68.5,1021,68.5,1022,68.5,988,68.5,1029,68.5,993
71.4,1048,71.4,774,71.4,893,71.4,1014,71.4,1067,71.4,1045,71.4,988,71.4,1001
74.2,1056,74.2,771,74.2,936,74.2,1075,74.2,1051,74.2,989,74.2,1016,74.2,1010
77,1055,77,847,77,974,77,1121,77,1115,77,1073,77,1035,77,1024
79.9,1042,79.9,897,79.9,1024,79.9,1082,79.9,1147,79.9,1110,79.9,1042,79.9,1068
82.7,1128,82.7,935,82.7,1089,82.7,1153,82.7,1110,82.7,1116,82.7,1116,82.7,1065
85.5,1153,85.5,917,85.5,1105,85.5,1158,85.5,1125,85.5,1110,85.5,1099,85.5,1089
88.4,1107,88.4,988,88.4,1196,88.4,1256,88.4,1160,88.4,1134,88.4,1119,88.4,1157
91.2,1172,91.2,943,91.2,1179,91.2,1137,91.2,1157,91.2,1099,91.2,1104,91.2,1061
94,1103,94,964,94,1099,94,1219,94,1164,94,1128,94,1128,94,1133
