E_A#3 / keV,N_A#3,E_A#19 / keV,N_A#19,E_A#20 / keV,N_A#20,E_A#21 / keV,N_A#21,E_A#22 / keV,N_A#22,E_A#23 / keV,N_A#23,E_A#24 / keV,N_A#24,E_A#25 / keV,N_A#25,E_A#26 / keV,N_A#26
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0
-47.8,62,-47.8,10,-47.8,21,-47.8,24,-47.8,33,-47.8,50,-47.8,46,-47.8,50,-47.8,57
-44.9,339,-44.9,85,-44.9,105,-44.9,172,-44.9,222,-44.9,230,-44.9,294,-44.9,303,-44.9,348
-42.1,463,-42.1,91,-42.1,129,-42.1,206,-42.1,260,-42.1,281,-42.1,322,-42.1,308,-42.1,369
-39.3,482,-39.3,109,-39.3,142,-39.3,225,-39.3,307,-39.3,282,-39.3,353,-39.3,368,-39.3,411
-36.4,549,-36.4,93,-36.4,145,-36.4,239,-36.4,379,-36.4,326,-36.4,370,-36.4,406,-36.4,433
-33.6,561,-33.6,122,-33.6,146,-33.6,208,-33.6,328,-33.6,326,-33.6,373,-33.6,425,-33.6,458
-30.8,678,-30.8,125,-30.8,174,-30.8,265,-30.8,383,-30.8,366,-30.8,397,-30.8,426,-30.8,452
-27.9,654,-27.9,109,-27.9,191,-27.9,241,-27.9,351,-27.9,359,-27.9,420,-27.9,478,-27.9,525
-25.1,721,-25.1,143,-25.1,192,-25.1,252,-25.1,383,-25.1,411,-25.1,448,-25.1,481,-25.1,533
-22.2,834,-22.2,145,-22.2,195,-22.2,268,-22.2,428,-22.2,379,-22.2,470,-22.2,530,-22.2,518
-19.4,757,-19.4,154,-19.4,193,-19.4,322,-19.4,419,-19.4,403,-19.4,460,-19.4,547,-19.4,538
-16.6,781,-16.6,150,-16.6,226,-16.6,323,-16.6,433,-16.6,469,-16.6,479,-16.6,558,-16.6,568
-13.7,776,-13.7,149,-13.7,210,-13.7,312,-13.7,460,-13.7,449,-13.7,524,-13.7,541,-13.7,603
-10.9,892,-10.9,185,-10.9,245,-10.9,343,-10.9,493,-10.9,502,-10.9,582,-10.9,616,-10.9,615
-8.1,883,-8.1,164,-8.1,218,-8.1,336,-8.1,495,-8.1,516,-8.1,571,-8.1,599,-8.1,641
-5.2,831,-5.2,165,-5.2,225,-5.2,344,-5.2,514,-5.2,478,-5.2,539,-5.2,619,-5.2,657
-2.4,767,-2.4,195,-2.4,244,-2.4,366,-2.4,504,-2.4,523,-2.4,564,-2.4,603,-2.4,687
0.4,793,0.4,187,0.4,244,0.4,401,0.4,534,0.4,570,0.4,614,0.4,626,0.4,693
3.3,813,3.3,205,3.3,258,3.3,426,3.3,565,3.3,607,3.3,612,3.3,721,3.3,771
