E_A#27 / keV,N_A#27,E_A#28 / keV,N_A#28,E_A#29 / keV,N_A#29,E_A#30 / keV,N_A#30,E_A#31 / keV,N_A#31,E_A#32 / keV,N_A#32,E_A#33 / keV,N_A#33,E_A#34 / keV,N_A#34,E_A#35 / keV,N_A#35
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,2,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0
-47.8,15,-47.8,15,-47.8,17,-47.8,31,-47.8,22,-47.8,12,-47.8,16,-47.8,14,-47.8,22
-44.9,135,-44.9,105,-44.9,99,-44.9,122,-44.9,123,-44.9,109,-44.9,118,-44.9,133,-44.9,122
-42.1,159,-42.1,111,-42.1,106,-42.1,124,-42.1,151,-42.1,124,-42.1,129,-42.1,123,-42.1,128
-39.3,156,-39.3,142,-39.3,140,-39.3,132,-39.3,167,-39.3,136,-39.3,166,-39.3,169,-39.3,145
-36.4,173,-36.4,146,-36.4,127,-36.4,132,-36.4,156,-36.4,169,-36.4,179,-36.4,149,-36.4,163
-33.6,187,-33.6,142,-33.6,133,-33.6,158,-33.6,169,-33.6,162,-33.6,194,-33.6,185,-33.6,186
-30.8,206,-30.8,147,-30.8,165,-30.8,170,-30.8,178,-30.8,180,-30.8,164,-30.8,169,-30.8,168
-27.9,218,-27.9,166,-27.9,160,-27.9,192,-27.9,197,-27.9,181,-27.9,189,-27.9,189,-27.9,170
-25.1,230,-25.1,168,-25.1,177,-25.1,179,-25.1,161,-25.1,186,-25.1,198,-25.1,200,-25.1,218
-22.2,237,-22.2,170,-22.2,179,-22.2,176,-22.2,188,-22.2,214,-22.2,219,-22.2,197,-22.2,189
-19.4,232,-19.4,176,-19.4,189,-19.4,179,-19.4,215,-19.4,211,-19.4,204,-19.4,211,-19.4,175
-16.6,245,-16.6,184,-16.6,176,-16.6,196,-16.6,212,-16.6,193,-16.6,216,-16.6,186,-16.6,191
-13.7,250,-13.7,206,-13.7,226,-13.7,231,-13.7,200,-13.7,212,-13.7,195,-13.7,206,-13.7,214
-10.9,278,-10.9,191,-10.9,197,-10.9,213,-10.9,267,-10.9,220,-10.9,224,-10.9,200,-10.9,232
-8.1,279,-8.1,206,-8.1,211,-8.1,233,-8.1,249,-8.1,250,-8.1,272,-8.1,251,-8.1,229
-5.2,279,-5.2,201,-5.2,233,-5.2,231,-5.2,221,-5.2,262,-5.2,266,-5.2,238,-5.2,243
-2.4,256,-2.4,209,-2.4,220,-2.4,235,-2.4,259,-2.4,256,-2.4,238,-2.4,248,-2.4,239
0.4,313,0.4,204,0.4,265,0.4,238,0.4,256,0.4,270,0.4,241,0.4,245,0.4,262
3.3,304,3.3,227,3.3,249,3.3,247,3.3,260,3.3,297,3.3,248,3.3,265,3.3,293
