E_A#27 / keV,N_A#27,E_A#36 / keV,N_A#36,E_A#37 / keV,N_A#37,E_A#38 / keV,N_A#38,E_A#39 / keV,N_A#39,E_A#40 / keV,N_A#40,E_A#41 / keV,N_A#41,E_A#43 / keV,N_A#43
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,2,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0
-47.8,15,-47.8,15,-47.8,17,-47.8,18,-47.8,21,-47.8,22,-47.8,18,-47.8,22
-44.9,135,-44.9,70,-44.9,99,-44.9,109,-44.9,103,-44.9,107,-44.9,122,-44.9,125
-42.1,159,-42.1,69,-42.1,99,-42.1,121,-42.1,127,-42.1,118,-42.1,153,-42.1,127
-39.3,156,-39.3,105,-39.3,121,-39.3,144,-39.3,159,-39.3,160,-39.3,126,-39.3,147
-36.4,173,-36.4,113,-36.4,121,-36.4,158,-36.4,124,-36.4,173,-36.4,151,-36.4,143
-33.6,187,-33.6,115,-33.6,140,-33.6,161,-33.6,153,-33.6,166,-33.6,168,-33.6,171
-30.8,206,-30.8,126,-30.8,154,-30.8,157,-30.8,159,-30.8,173,-30.8,177,-30.8,176
-27.9,218,-27.9,121,-27.9,134,-27.9,156,-27.9,174,-27.9,214,-27.9,168,-27.9,188
-25.1,230,-25.1,134,-25.1,161,-25.1,180,-25.1,190,-25.1,177,-25.1,182,-25.1,210
-22.2,237,-22.2,143,-22.2,165,-22.2,175,-22.2,172,-22.2,190,-22.2,203,-22.2,215
-19.4,232,-19.4,153,-19.4,165,-19.4,180,-19.4,185,-19.4,228,-19.4,197,-19.4,180
-16.6,245,-16.6,145,-16.6,184,-16.6,193,-16.6,215,-16.6,197,-16.6,211,-16.6,233
-13.7,250,-13.7,153,-13.7,192,-13.7,228,-13.7,186,-13.7,221,-13.7,217,-13.7,234
-10.9,278,-10.9,171,-10.9,176,-10.9,203,-10.9,243,-10.9,258,-10.9,231,-10.9,251
-8.1,279,-8.1,163,-8.1,184,-8.1,214,-8.1,233,-8.1,225,-8.1,234,-8.1,271
-5.2,279,-5.2,147,-5.2,178,-5.2,206,-5.2,238,-5.2,222,-5.2,233,-5.2,265
-2.4,256,-2.4,182,-2.4,163,-2.4,239,-2.4,244,-2.4,260,-2.4,247,-2.4,287
0.4,313,0.4,158,0.4,208,0.4,241,0.4,260,0.4,228,0.4,227,0.4,272
3.3,304,3.3,193,3.3,191,3.3,252,3.3,254,3.3,280,3.3,277,3.3,283
6.1,315,6.1,205,6.1,228,6.1,250,6.1,268,6.1,289,6.1,278,6.1,298
9,317,9,203,9,221,9,285,9,255,9,285,9,286,9,267
11.8,317,11.8,206,11.8,223,11.8,288,11.8,264,11.8,289,11.8,295,11.8,283
14.6,349,14.6,212,14.6,266,14.6,262,14.6,281,14.6,299,14.6,291,14.6,300
17.5,329,17.5,202,17.5,255,17.5,295,17.5,310,17.5,290,17.5,298,17.5,291
20.3,346,20.3,206,20.3,259,20.3,272,20.3,299,20.3,310,20.3,314,20.3,332
23.1,320,23.1,228,23.1,289,23.1,286,23.1,339,23.1,318,23.1,357,23.1,308
26,410,26,248,26,283,26,300,26,329,26,323,26,312,26,328
28.8,396,28.8,249,28.8,304,28.8,315,28.8,336,28.8,358,28.8,353,28.8,358
31.6,430,31.6,283,31.6,313,31.6,355,31.6,357,31.6,387,31.6,377,31.6,379
34.5,475,34.5,331,34.5,431,34.5,412,34.5,445,34.5,471,34.5,451,34.5,423
37.3,605,37.3,433,37.3,503,37.3,525,37.3,527,37.3,521,37.3,513,37.3,556
40.2,700,40.2,543,40.2,563,40.2,618,40.2,644,40.2,650,40.2,652,40.2,645
43,708,43,532,43,580,43,674,43,662,43,677,43,714,43,694
45.8,647,45.8,478,45.8,558,45.8,564,45.8,599,45.8,604,45.8,649,45.8,662
48.7,608,48.7,415,48.7,472,48.7,530,48.7,521,48.7,552,48.7,564,48.7,596
51.5,594,51.5,432,51.5,437,51.5,507,51.5,521,51.5,479,51.5,559,51.5,565
54.3,599,54.3,432,54.3,441,54.3,524,54.3,486,54.3,534,54.3,573,54.3,499
57.2,575,57.2,403,57.2,469,57.2,473,57.2,461,57.2,520,57.2,536,57.2,497
60,538,60,336,60,406,60,431,60,459,60,472,60,480,60,487
62.8,487,62.8,381,62.8,404,62.8,467,62.8,481,62.8,496,62.8,470,62.8,445
65.7,471,65.7,314,65.7,398,65.7,451,65.7,456,65.7,441,65.7,448,65.7,472
68.5,526,68.5,387,68.5,376,68.5,427,68.5,432,68.5,462,68.5,463,68.5,461
71.4,479,71.4,374,71.4,380,71.4,451,71.4,410,71.4,484,71.4,428,71.4,451
74.2,462,74.2,404,74.2,443,74.2,447,74.2,441,74.2,476,74.2,443,74.2,464
77,498,77,369,77,435,77,442,77,493,77,488,77,472,77,468
79.9,513,79.9,398,79.9,428,79.9,487,79.9,483,79.9,470,79.9,456,79.9,479
82.7,535,82.7,388,82.7,469,82.7,491,82.7,497,82.7,469,82.7,478,82.7,495
85.5,513,85.5,394,85.5,445,85.5,480,85.5,479,85.5,469,85.5,472,85.5,517
88.4,544,88.4,412,88.4,448,88.4,487,88.4,478,88.4,449,88.4,497,88.4,485
91.2,521,91.2,400,91.2,448,91.2,471,91.2,437,91.2,486,91.2,453,91.2,469
94,443,94,378,94,425,94,493,94,503,94,459,94,473,94,495
96.9,525,96.9,404,96.9,463,96.9,481,96.9,473,96.9,485,96.9,495,96.9,479
99.7,451,99.7,417,99.7,474,99.7,503,99.7,478,99.7,516,99.7,459,99.7,479
102.6,479,102.6,385,102.6,476,102.6,460,102.6,461,102.6,501,102.6,473,102.6,476
105.4,472,105.4,414,105.4,470,105.4,488,105.4,504,105.4,510,105.4,501,105.4,517
