E_A#27 / keV,N_A#27,E_A#44 / keV,N_A#44,E_A#45 / keV,N_A#45,E_A#46 / keV,N_A#46,E_A#47 / keV,N_A#47,E_A#48 / keV,N_A#48,E_A#49 / keV,N_A#49,E_A#50 / keV,N_A#50
-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0,-56.3,0
-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0,-53.4,0
-50.6,2,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0,-50.6,0
-47.8,15,-47.8,7,-47.8,14,-47.8,8,-47.8,12,-47.8,14,-47.8,10,-47.8,25
-44.9,135,-44.9,58,-44.9,72,-44.9,63,-44.9,86,-44.9,85,-44.9,93,-44.9,86
-42.1,159,-42.1,73,-42.1,73,-42.1,86,-42.1,109,-42.1,97,-42.1,99,-42.1,119
-39.3,156,-39.3,67,-39.3,94,-39.3,89,-39.3,124,-39.3,116,-39.3,142,-39.3,129
-36.4,173,-36.4,73,-36.4,93,-36.4,92,-36.4,126,-36.4,120,-36.4,145,-36.4,115
-33.6,187,-33.6,73,-33.6,95,-33.6,93,-33.6,130,-33.6,127,-33.6,154,-33.6,138
-30.8,206,-30.8,87,-30.8,86,-30.8,127,-30.8,143,-30.8,135,-30.8,164,-30.8,163
-27.9,218,-27.9,79,-27.9,87,-27.9,114,-27.9,121,-27.9,144,-27.9,162,-27.9,159
-25.1,230,-25.1,87,-25.1,97,-25.1,113,-25.1,140,-25.1,138,-25.1,156,-25.1,166
-22.2,237,-22.2,91,-22.2,100,-22.2,109,-22.2,155,-22.2,145,-22.2,157,-22.2,167
-19.4,232,-19.4,78,-19.4,116,-19.4,113,-19.4,144,-19.4,170,-19.4,176,-19.4,177
-16.6,245,-16.6,101,-16.6,113,-16.6,112,-16.6,150,-16.6,168,-16.6,185,-16.6,181
-13.7,250,-13.7,110,-13.7,124,-13.7,125,-13.7,162,-13.7,158,-13.7,163,-13.7,192
-10.9,278,-10.9,114,-10.9,128,-10.9,150,-10.9,156,-10.9,182,-10.9,211,-10.9,205
-8.1,279,-8.1,114,-8.1,135,-8.1,161,-8.1,172,-8.1,215,-8.1,214,-8.1,212
-5.2,279,-5.2,123,-5.2,127,-5.2,153,-5.2,181,-5.2,179,-5.2,237,-5.2,215
-2.4,256,-2.4,127,-2.4,133,-2.4,145,-2.4,197,-2.4,204,-2.4,200,-2.4,227
0.4,313,0.4,122,0.4,129,0.4,142,0.4,196,0.4,240,0.4,220,0.4,249
3.3,304,3.3,154,3.3,148,3.3,181,3.3,213,3.3,248,3.3,237,3.3,221
6.1,315,6.1,150,6.1,171,6.1,199,6.1,228,6.1,257,6.1,242,6.1,241
9,317,9,147,9,155,9,205,9,228,9,279,9,256,9,302
11.8,317,11.8,123,11.8,176,11.8,158,11.8,211,11.8,240,11.8,264,11.8,226
14.6,349,14.6,152,14.6,156,14.6,169,14.6,239,14.6,240,14.6,236,14.6,263
17.5,329,17.5,175,17.5,184,17.5,176,17.5,224,17.5,259,17.5,238,17.5,249
20.3,346,20.3,174,20.3,176,20.3,198,20.3,255,20.3,276,20.3,247,20.3,269
23.1,320,23.1,172,23.1,192,23.1,190,23.1,276,23.1,256,23.1,296,23.1,294
26,410,26,173,26,197,26,214,26,292,26,299,26,297,26,313
28.8,396,28.8,200,28.8,185,28.8,245,28.8,315,28.8,322,28.8,305,28.8,330
31.6,430,31.6,223,31.6,280,31.6,269,31.6,293,31.6,322,31.6,373,31.6,327
34.5,475,34.5,273,34.5,289,34.5,309,34.5,391,34.5,401,34.5,405,34.5,401
37.3,605,37.3,381,37.3,386,37.3,418,37.3,442,37.3,531,37.3,575,37.3,573
40.2,700,40.2,463,40.2,489,40.2,521,40.2,645,40.2,675,40.2,722,40.2,723
43,708,43,486,43,535,43,524,43,680,43,752,43,736,43,752
45.8,647,45.8,409,45.8,469,45.8,501,45.8,596,45.8,691,45.8,751,45.8,727
48.7,608,48.7,377,48.7,404,48.7,453,48.7,535,48.7,582,48.7,611,48.7,570
51.5,594,51.5,342,51.5,395,51.5,391,51.5,509,51.5,485,51.5,548,51.5,534
54.3,599,54.3,344,54.3,360,54.3,410,54.3,447,54.3,506,54.3,515,54.3,477
57.2,575,57.2,326,57.2,363,57.2,345,57.2,440,57.2,524,57.2,482,57.2,456
60,538,60,312,60,301,60,354,60,415,60,428,60,460,60,427
62.8,487,62.8,304,62.8,337,62.8,341,62.8,374,62.8,370,62.8,423,62.8,386
65.7,471,65.7,235,65.7,274,65.7,279,65.7,349,65.7,365,65.7,383,65.7,328
68.5,526,68.5,238,68.5,277,68.5,296,68.5,322,68.5,337,68.5,389,68.5,401
71.4,479,71.4,238,71.4,257,71.4,282,71.4,316,71.4,326,71.4,329,71.4,355
74.2,462,74.2,261,74.2,266,74.2,312,74.2,361,74.2,378,74.2,362,74.2,340
77,498,77,270,77,327,77,297,77,347,77,359,77,383,77,350
79.9,513,79.9,266,79.9,284,79.9,286,79.9,333,79.9,370,79.9,373,79.9,317
82.7,535,82.7,285,82.7,248,82.7,335,82.7,355,82.7,378,82.7,370,82.7,382
85.5,513,85.5,266,85.5,288,85.5,307,85.5,363,85.5,348,85.5,359,85.5,384
88.4,544,88.4,300,88.4,288,88.4,325,88.4,367,88.4,367,88.4,341,88.4,337
91.2,521,91.2,279,91.2,294,91.2,334,91.2,368,91.2,347,91.2,356,91.2,355
94,443,94,287,94,290,94,286,94,327,94,368,94,370,94,372
96.9,525,96.9,298,96.9,295,96.9,300,96.9,402,96.9,366,96.9,361,96.9,348
99.7,451,99.7,283,99.7,284,99.7,279,99.7,334,99.7,364,99.7,401,99.7,348
102.6,479,102.6,264,102.6,282,102.6,303,102.6,331,102.6,343,102.6,385,102.6,386
105.4,472,105.4,283,105.4,306,105.4,316,105.4,337,105.4,335,105.4,395,105.4,351
